,Date,Tries,Word,Time,Got it
80,12/14/22,5.0,Usual,3:23 PM,Yes
81,12/15/22,3.0,Rival,7:26 AM,Yes
82,12/16/22,4.0,Probe,9:04 AM,Yes
83,12/18/22,4.0,Taper,10:10 AM,Yes
84,12/19/22,4.0,Slate,6:10 PM,Yes
85,12/21/22,3.0,Lunar,9:23 PM,Yes
86,12/22/22,5.0,Excel,7:17 PM,Yes
87,12/25/22,2.0,Extra,11:13 AM,Yes
88,12/26/22,6.0,Judge,11:49 AM,No
89,12/27/22,6.0,Condo,11:36 AM,No
90,12/28/22,5.0,Impel,4:27 PM,Yes
91,12/30/22,5.0,Molar,12:40 AM,Yes
92,1/1/23,5.0,Whine,10:03 AM,Yes
93,1/2/23,4.0,Skirt,11:02 AM,Yes
94,1/4/23,5.0,Layer,7:11 PM,Yes
95,1/5/23,3.0,Sleek,12:03 PM,Yes
96,1/7/23,4.0,Lemon,3:41 PM,Yes
97,1/12/23,4.0,Leapt,2:37 PM,Yes
98,1/15/23,3.0,Spire,10:25 AM,Yes
99,1/16/23,6.0,Frock,4:27 PM,Yes
100,1/17/23,6.0,Adopt,10:17 AM,Yes
101,1/18/23,6.0,Chard,12:58 PM,Yes
102,1/19/23,6.0,Mucky,9:21 AM,Yes
103,1/20/23,6.0,Alter,2:08 PM,Yes
104,1/21/23,6.0,Blurb,12:05 PM,No
105,1/22/23,5.0,Matey,1:58 AM,Yes
106,1/23/23,6.0,Elude,9:56 AM,Yes
107,1/25/23,5.0,Maize,2:08 PM,Yes
108,1/26/23,6.0,Beefy,9:06 AM,Yes
109,1/27/23,3.0,Worry,12:54 AM,Yes
110,1/28/23,4.0,Flirt,4:25 PM,Yes
111,1/29/23,4.0,Fishy,12:42 PM,Yes
112,1/30/23,3.0,Crave,8:54 AM,Yes
113,1/31/23,6.0,Cross,8:38 AM,Yes
114,2/1/23,4.0,Scald,2:10 PM,Yes
115,2/2/23,6.0,Shirk,8:35 PM,Yes
116,2/3/23,3.0,Tasty,9:03 AM,Yes
117,2/5/23,6.0,Dance,2:06 PM,No
118,2/6/23,3.0,Ninth,9:53 AM,Yes
119,2/7/23,3.0,Apple,12:20 PM,Yes
120,2/8/23,6.0,Flail,9:00 AM,No
121,2/9/23,6.0,Stage,12:15 PM,Yes
122,2/10/23,3.0,Heady,8:58 AM,Yes
123,2/11/23,6.0,Debug,3:12 PM,No
124,2/13/23,6.0,Usage,9:57 AM,Yes
125,2/14/23,6.0,Sound,12:18 PM,Yes
126,2/15/23,4.0,Salsa,9:54 AM,Yes
127,2/16/23,4.0,Magic,9:21 AM,Yes
128,2/17/23,6.0,Cache,9:00 AM,Yes
129,2/18/23,6.0,Avail,2:18 PM,No
130,2/20/23,3.0,Swear,4:30 PM,Yes
131,2/21/23,4.0,Ruddy,12:43 PM,Yes
132,2/22/23,6.0,Riper,12:22 PM,Yes
133,2/23/23,6.0,Vague,9:24 AM,No
134,2/24/23,5.0,Arbor,11:10 AM,Yes
135,2/25/23,6.0,Fifty,11:02 PM,Yes
136,2/26/23,6.0,Syrup,6:36 PM,Yes
137,2/27/23,5.0,Worse,9:55 AM,Yes
138,2/28/23,6.0,Polka,12:24 PM,Yes
139,3/1/23,6.0,Moose,9:58 AM,Yes
140,3/2/23,5.0,Above,3:07 PM,Yes
141,3/3/23,5.0,Squat,10:00 AM,Yes
142,3/4/23,6.0,Trend,6:08 PM,Yes
143,3/6/23,6.0,Pinky,2:06 PM,No
144,3/7/23,3.0,Horse,12:27 PM,Yes
145,3/8/23,5.0,Regal,2:14 PM,Yes
146,3/9/23,3.0,Where,1:20 PM,No
147,3/10/23,3.0,Rebel,9:00 AM,Yes
148,3/11/23,3.0,Email,1:01 PM,Yes
149,3/12/23,4.0,Birth,4:17 PM,Yes
150,3/14/23,5.0,Surly,6:48 PM,Yes
151,3/15/23,4.0,Sweep,4:45 PM,Yes
152,3/16/23,5.0,Cider,6:37 PM,Yes
153,3/17/23,4.0,Mealy,8:24 AM,Yes
154,3/19/23,6.0,Credo,6:25 AM,No
155,3/20/23,6.0,Glove,2:11 PM,Yes
